METGROUP, METRIC_ACRONYM  , INST, END_DATE            , VALUE
CPU     , CPU             , 1   , 2020-10-29T16:38:51 , 2
CPU     , CPU             , 1   , 2020-10-29T16:39:41 , 1
CPU     , CPU             , 1   , 2020-10-29T16:43:43 , 1
CPU     , CPU             , 1   , 2020-10-29T16:50:54 , 1
CPU     , CPU             , 1   , 2020-10-29T16:51:05 , 1
CPU     , CPU             , 1   , 2020-10-29T16:55:06 , 1
CPU     , CPU             , 1   , 2020-10-29T16:55:16 , 1
CPU     , CPU             , 1   , 2020-10-29T16:56:16 , 1
CPU     , CPU             , 1   , 2020-10-29T16:56:26 , 1
CPU     , CPU             , 1   , 2020-10-29T16:57:16 , 1
CPU     , CPU             , 1   , 2020-10-29T16:57:26 , 1
CPU     , CPU             , 1   , 2020-10-29T16:59:47 , 1
CPU     , CPU             , 1   , 2020-10-29T17:00:47 , 1
CPU     , CPU             , 1   , 2020-10-29T17:00:57 , 1
CPU     , CPU             , 1   , 2020-10-29T17:01:47 , 1
CPU     , CPU             , 1   , 2020-10-29T17:01:57 , 1
CPU     , CPU             , 1   , 2020-10-29T17:02:47 , 1
CPU     , CPU             , 1   , 2020-10-29T17:06:49 , 1
CPU     , CPU             , 1   , 2020-10-29T17:06:59 , 1
CPU     , CPU             , 1   , 2020-10-29T17:07:09 , 1
CPU     , CPU             , 1   , 2020-10-29T17:07:19 , 1
CPU     , CPU             , 1   , 2020-10-29T17:07:29 , 1
CPU     , CPU             , 1   , 2020-10-29T17:07:39 , 1
CPU     , CPU             , 1   , 2020-10-29T17:07:49 , 1
CPU     , CPU             , 1   , 2020-10-29T17:08:09 , 1
CPU     , CPU             , 1   , 2020-10-29T17:08:19 , 1
CPU     , CPU             , 1   , 2020-10-29T17:08:39 , 1
CPU     , CPU             , 1   , 2020-10-29T17:08:49 , 1
CPU     , CPU             , 1   , 2020-10-29T17:08:59 , 1
CPU     , CPU             , 1   , 2020-10-29T17:09:09 , 1
CPU     , CPU             , 1   , 2020-10-29T17:09:29 , 1
CPU     , CPU             , 1   , 2020-10-29T17:10:10 , 1
CPU     , CPU             , 1   , 2020-10-29T17:10:40 , 1
CPU     , CPU             , 1   , 2020-10-29T17:10:50 , 1
CPU     , CPU             , 1   , 2020-10-29T17:14:11 , 1
CPU     , CPU             , 1   , 2020-10-29T17:17:01 , 1
CPU     , CPU             , 1   , 2020-10-29T17:19:12 , 1
CPU     , CPU             , 1   , 2020-10-29T17:26:04 , 1
CPU     , CPU             , 1   , 2020-10-29T17:28:04 , 1
CPU     , CPU             , 1   , 2020-10-29T17:28:25 , 1
CPU     , CPU             , 1   , 2020-10-29T17:28:35 , 1
